ID,Age_Years,Gender,Switch_VocalRT_Cue.Afrikaans_DLPFC,Switch_VocalRT_Cue.English_DLPFC,Nonswitch_VocalRT_Cue.Afrikaans_DLPFC,Nonswitch_VocalRT_Cue.English_DLPFC,Switch_VocalRT_Cue.Afrikaans_VERTEX,Switch_VocalRT_Cue.English_VERTEX,Nonswitch_VocalRT_Cue.Afrikaans_VERTEX,Nonswitch_VocalRT_Cue.English_VERTEX,Switch_VocalRT_Cue.Afrikaans_SHAM,Switch_VocalRT_Cue.English_SHAM,Nonswitch_VocalRT_Cue.Afrikaans_SHAM,Nonswitch_VocalRT_Cue.English_SHAM,Switch_Naming.Accuracy_Cue.Afrikaans_DLPFC,Switch_Naming.Accuracy_Cue.English_DLPFC,Nonswitch_Naming.Accuracy_Cue.Afrikaans_DLPFC,Nonswitch_Naming.Accuracy_Cue.English_DLPFC,Switch_Naming.Accuracy_Cue.Afrikaans_vertex,Switch_Naming.Accuracy_Cue.English_vertex,Nonswitch_Naming.Accuracy_Cue.Afrikaans_vertex,Nonswitch_Naming.Accuracy_Cue.English_vertex,Switch_Naming.Accuracy_Cue.Afrikaans_Sham,Switch_Naming.Accuracy_Cue.English_Sham,Nonswitch_Naming.Accuracy_Cue.Afrikaans_Sham,Nonswitch_Naming.Accuracy_Cue.English_Sham,Switch_Mean.N2_Cue.Afrikaans,Nonswitch_Mean.N2_Cue.Afrikaans,Switch_Mean.N2_Cue.English,Nonswitch_Mean.N2_Cue.English,Switch_Mean.N2_Cue.Afrikaans,Nonswitch_Mean.N2_Cue.Afrikaans,Switch_Mean.N2_Cue.English,Nonswitch_Mean.N2_Cue.English,Switch_Mean.N2_Cue.Afrikaans,Nonswitch_Mean.N2_Cue.Afrikaans,Switch_Mean.N2_Cue.English,Nonswitch_Mean.N2_Cue.English
1,25.00,M,570.0,593.0,549.2,523.0,653.0,548.9,516.7,547.2,530.7,577.9,547.5,503.7,94,96,88,92,88,90,84,94,94,96,88,92,-14.91,-13.18,-7.85,-14.03,-6.19,-5.40,-5.15,-5.72,-14.18,-16.26,-15.19,-17.21
2,48.00,M,1224.2,1288.4,1092.1,1153.9,1277.1,1326.1,1205.0,1244.5,1300.3,1281.3,1134.7,1120.6,84,98,98,98,98,98,98,98,76,96,96,98,-3.20,-4.21,-4.84,-2.93,-3.68,-1.21,-2.40,-3.76,-6.72,-6.82,-7.46,-8.12
3,19.00,F,1009.7,1116.2,1049.2,867.4,1035.1,1130.5,924.0,947.8,1043.4,975.2,894.4,776.2,74,90,92,94,82,100,90,90,86,94,86,92,-13.11,-16.10,-7.50,-13.19,-12.14,-9.10,-14.24,-14.00,-6.57,-6.67,-6.78,-8.95
4,49.00,F,1000.5,931.7,924.3,939.7,1068.1,1119.1,1018.3,1102.9,816.0,948.5,813.3,943.0,94,92,98,100,92,92,100,96,92,92,98,100,2.45,1.06,2.81,0.33,2.44,6.22,3.29,1.17,0.53,1.46,-0.73,-0.45
5,21.00,M,665.6,666.7,508.0,507.5,575.9,600.2,611.8,511.6,686.0,683.6,591.1,534.3,84,88,80,98,64,94,82,84,66,82,84,86,-10.47,-8.20,-11.28,-11.44,-5.91,-5.70,-6.01,-6.25,-5.56,-10.19,-4.19,-5.44
6,24.00,F,656.7,659.7,597.4,605.2,648.1,690.0,653.0,607.6,642.9,616.3,654.3,530.7,90,94,86,92,94,94,86,100,86,98,98,100,-9.86,-8.74,-10.23,-9.14,-7.63,-6.04,-8.91,-9.16,-3.50,-9.09,-7.63,-6.22
7,47.00,M,1141.0,1103.3,933.2,989.5,828.2,921.4,846.7,759.8,880.5,958.1,775.2,875.4,82,86,90,92,90,96,90,90,92,94,94,94,-9.84,-10.34,-18.66,-17.03,-1.17,-2.34,-6.55,-0.91,-12.68,-15.32,-14.59,-10.87
8,30.00,F,704.2,713.0,632.6,573.6,650.0,614.6,603.6,628.8,837.7,720.1,642.7,560.1,80,88,96,94,88,90,100,90,78,86,94,90,-6.47,-2.08,-4.70,-3.28,-2.99,-2.70,-2.78,-3.74,-3.75,-5.94,-4.44,-7.37
9,42.00,M,1121.4,998.6,857.4,882.7,839.9,802.4,1029.6,746.5,952.0,875.2,900.7,808.9,88,94,90,98,90,100,96,98,90,98,92,96,1.81,-0.83,-1.10,0.74,-0.96,0.30,-3.11,-1.93,0.79,0.02,2.39,-0.56
10,20.00,M,1049.9,931.0,919.2,855.3,982.7,934.8,1034.3,1020.8,1040.9,962.1,963.9,811.2,86,94,90,96,84,86,88,98,92,94,100,100,-12.12,-12.08,-11.68,-13.76,-6.17,-6.47,-5.55,-5.57,-7.79,-13.20,-10.81,-9.36
11,44.00,F,571.4,569.0,529.1,526.2,557.8,602.1,457.4,554.7,691.1,671.0,642.6,594.5,96,100,98,100,92,100,98,100,86,96,94,100,-0.98,-7.00,-5.72,-5.70,-1.61,1.76,-2.47,-0.45,-2.16,-5.63,-5.00,-7.35
12,29.00,M,897.4,812.7,654.0,659.2,823.3,821.5,738.8,662.5,824.7,739.8,625.7,625.1,88,94,94,100,94,100,96,100,92,98,96,98,-2.64,0.59,-4.93,-3.09,-6.91,2.22,-4.10,-4.98,0.99,4.32,-2.63,1.24
13,19.00,M,694.1,797.5,618.1,753.3,855.5,1178.4,719.2,925.5,802.7,1055.5,734.7,843.0,90,98,94,92,96,94,96,88,92,96,94,98,-6.61,-5.13,-2.63,-4.23,-2.39,-1.30,-2.48,-0.74,-1.28,-1.09,-0.86,-3.55
14,31.00,F,516.2,549.8,500.2,472.8,532.7,567.6,573.3,510.3,578.9,510.6,539.0,506.9,92,100,98,100,96,100,96,96,94,100,100,98,-5.58,-9.36,-11.30,-8.69,-15.40,-10.40,-12.03,-15.89,-15.18,-19.15,-15.45,-17.79
15,19.00,M,961.5,1112.3,828.9,793.8,1033.3,917.1,824.0,771.7,931.0,1126.9,826.1,758.8,96,100,92,98,94,96,94,98,90,94,100,98,-7.89,-9.19,-10.57,-12.99,-10.95,-12.58,-15.12,-14.98,-6.16,-8.84,-8.81,-11.09
16,49.00,F,733.1,764.8,701.8,705.7,1038.2,739.3,893.7,939.1,643.3,729.3,624.1,630.7,72,90,90,100,62,73,82,82,72,88,94,96,0.70,0.39,-1.57,1.48,-0.49,-1.94,4.42,-3.37,1.78,0.95,3.07,0.72
17,42.00,M,919.4,831.1,854.1,854.1,1014.7,1005.3,858.7,901.7,1149.2,1032.6,1017.1,859.0,78,100,88,100,86,92,96,98,84,94,86,92,-13.10,-10.67,-17.68,-10.91,-12.93,-13.10,-14.86,-16.12,-14.07,-10.87,-12.12,-14.96
