Subject #,Variation,GainNTP,LossNTP,GainTP,LossTP
1,1,0.393463164,0.602853261,0.120516304,0.533740942
2,1,0.098807367,0.216530797,0.181974638,0.418297101
3,1,0.284601449,0.359963768,0.116168478,0.277158816
4,1,0.271029589,0.584073068,0.401766304,0.649169686
5,1,0.564930556,0.730917874,0.328306159,0.797448671
6,1,0.041666667,0.548988527,0.012152778,0.936186594
7,1,0,0.029513889,0,0
8,1,0.238043478,0.454936594,0.563224638,0.815006039
9,1,0.302823068,0.745561594,0.103487319,0.458922101
10,1,0.280766908,0.521603261,0.493115942,0.756838768
11,1,0.284903382,0.598278986,0.198278986,0.886881039
12,1,0.550347222,0.538888889,0.219459541,0.458559783
13,1,0.288043478,0.77611715,0.301086957,0.774894324
14,1,0.568629227,0.735658213,0.426449275,0.804936594
15,1,0.565277778,0.72607186,0.190806159,0.618599034
16,1,0.389266304,0.385628019,0.377641908,0.365836353
17,1,0.578879831,0.459254227,0.19986413,0.402490942
18,1,0.530389493,0.675558575,0.401570048,0.819519928
19,1,0.660824275,0.764477657,0.442044082,0.776630435
20,1,0.1040157,0.403019324,0.066500604,0.374713164
21,1,0.053125,0.352626812,0.161126208,0.96049215
22,1,0.338753019,0.706310386,0.261986715,0.96049215
23,1,0.796422101,1.001464372,0.96674215,0.93964372
24,1,0.372961957,0.443100845,0.204347826,0.791908213
25,1,0.600769928,0.642255435,0.540504227,0.818297101
26,1,0.917602657,0.955978261,0.947282609,1.001464372
27,1,0.202430556,0.327792874,0.049139493,0.308876812
28,1,0.739266304,0.756838768,0.673309179,0.628351449
29,1,0.269127415,0.470169082,0.305570652,0.519127415
30,1,0.645018116,1.001464372,0.634088164,0.977158816
31,1,0.665972222,0.606083937,0.390277778,0.748309179
32,1,0.481989734,0.81674215,0.142708333,0.947116546
33,1,0.514975845,0.552823068,0.32084843,0.500558575
34,1,0.545546498,0.710129831,0.362016908,0.959269324
35,1,0.567059179,0.596225845,0.115474034,0.952853261
36,1,0.028819444,1.001464372,0,1.001464372
37,1,0.323309179,0.93549215,0.132669082,0.989311594
38,1,0.255948068,0.662047101,0.115640097,0.124667874
39,1,0.549713164,0.840172101,0.468100845,0.815866546
40,1,0.024305556,0.103321256,0,0.049667874
41,1,0.050196256,0.149667874,0,0.839477657
42,1,0.242889493,0.940172101,0.137152778,0.656476449
43,1,0.815866546,0.880782005,0.833378623,0.791364734
44,1,0.658907005,0.549169686,0.453683575,0.829227053
45,1,0.421361715,0.783046498,0.121376812,0.80424215
46,1,0.450181159,0.743266908,0.289085145,0.670380435
47,1,0.350241546,0.579589372,0.529408213,1.001464372
48,1,0.410099638,0.663269928,0.149667874,0.818825483
49,1,0.344655797,0.604393116,0.286322464,0.564809783
50,2,0.430978261,0.534797705,0.191727053,0.48549215
51,2,0.858061594,0.706838768,0.722282609,0.880782005
52,2,0.359903382,0.488753019,0.68651872,0.817089372
53,2,0.184933575,0.415157005,0.096905193,0.810144928
54,2,0.52611715,0.642783816,0.447297705,0.612228261
55,2,0.276237923,0.276932367,0.136322464,0.123112923
56,2,0.139779589,0.214281401,0.075030193,0.135794082
57,2,0.029513889,0.071708937,0.042195048,0.948339372
58,2,0.213239734,0.393825483,0.075030193,0.157835145
59,2,0.024305556,0.122584541,0,0
60,2,0.726268116,0.470380435,0.24883756,0.570380435
61,2,0.053819444,0.106778382,0,0
62,2,0.012681159,0.50298913,0.012152778,0.35209843
63,2,0.539583333,0.681446256,0.384737319,0.821754227
64,2,0.361352657,0.593825483,0.629740338,0.607503019
65,2,0.235794082,0.546391908,0.120682367,0.232835145
66,2,0.608227657,0.724547101,0.612016908,0.57504529
67,2,0.814130435,0.858061594,0.710144928,0.892089372
68,2,0.534767512,0.640338164,0.399501812,0.696754227
69,2,0.531808575,0.815338164,0.333001208,0.889477657
70,2,0.552838164,0.699381039,0.141002415,0.581491546
71,2,0.861352657,0.86968599,0.45821256,0.67383756
72,2,0.229528986,1.001464372,0,0.988783213
73,2,0.477294686,0.722282609,0.182503019,0.828019324
74,2,0.091334541,0.595727657,0.354211957,0.930283816
75,2,0.406778382,0.972644928,0.090806159,0.847116546
76,2,0.873339372,0.989311594,0.887575483,0.977158816
77,2,0.260990338,0.76674215,0.332699275,0.984103261
78,2,0.766394928,0.923339372,0.748686594,0.965006039
79,2,0.302657005,0.346240942,0.041500604,0.214296498
80,2,0.563224638,0.774894324,0.273807367,0.919519928
81,2,0.319655797,0.642421498,0.199139493,0.679393116
82,2,0.32281099,0.286881039,0.265172101,0.249365942
83,2,0.146210749,0.236850845,0.328683575,0.468432971
84,2,0.935658213,0.984103261,0.840866546,0.96049215
85,2,0.643825483,0.700769928,0.26968599,0.310658213
86,2,0.620878623,0.695908816,0.446935386,0.698671498
87,2,0,0.024305556,0.136458333,0.733544686
88,2,0.678185386,0.601253019,0.377264493,0.738058575
89,2,0.243251812,0.393991546,0.024833937,0.61031099
90,2,0.114583333,0.630948068,0.424501812,0.436156401
91,2,0.697614734,0.600573671,0.480917874,0.754921498
92,2,0.388919082,0.818991546,0.597448671,0.825075483
93,2,0.626736111,0.685628019,0.289236111,0.711503623
94,2,0.645863527,0.652294686,0.329181763,0.505404589
95,2,0.400196256,0.690172101,0.432503019,0.881838768
96,2,0.467376208,0.561503623,0.105042271,0.750377415
97,2,0.401388889,0.519625604,0.36254529,0.578698671
98,2,0.546557971,0.725211353,0.688420894,0.812741546
99,3,0.646422101,0.605978261,0.067028986,0.791032609
100,3,0.16982186,0.431476449,0.024305556,0.678547705
101,3,0.512892512,0.872116546,0.172750604,1.001464372
102,3,0.457653986,0.900241546,0.178487319,0.828864734
103,3,0.012681159,0,0,0.042195048
104,3,0.087711353,0.349184783,0.138043478,0.906838768
105,3,0.265292874,0.568266908,0.324154589,0.952853261
106,3,0.693629227,0.819172705,0.63339372,0.814658816
107,3,0.073445048,0.355948068,0.041666667,0.108001208
108,3,0.679589372,0.840006039,0.329378019,0.883740942
109,3,0.341878019,0.28964372,0.066334541,0.192059179
110,3,0.312167874,0.385794082,0.086126208,0.925769928
111,3,0.498641304,0.742089372,0.142195048,0.734435386
112,3,0.582865338,0.813783213,0.317934783,0.772297705
113,3,0.164779589,0.294127415,0.358891908,1.001464372
114,3,0.283891908,0.887047101,0.240126812,0.947282609
115,3,0.553185386,0.779045894,0.132306763,0.67906099
116,3,0,0,0.054347826,0.291530797
117,3,0.800015097,0.977158816,0.403834541,0.911881039
118,3,0.213737923,0.435990338,0.024833937,0.542949879
119,3,0,0.024305556,0.049139493,0.024833937
120,3,0.651570048,0.727264493,0.466847826,0.60834843
121,3,0.583559783,0.605434783,0.566364734,0.646240942
122,3,0.568266908,0.548671498,0.519459541,0.633725845
123,3,0.489613527,0.58651872,0.067028986,0.451932367
124,3,0.27294686,0.884963768,0.514447464,0.765866546
125,3,0.506642512,0.562530193,0.747448671,0.818991546
126,3,0.716666667,0.716666667,0.561156401,0.326570048
127,3,0.337182971,0.679740338,0.2540157,0.959797705
128,3,0.799728261,0.858756039,0.326449275,0.510144928
129,3,0.468976449,0.557170894,0.525392512,0.940700483
130,3,0.469791667,0.434375,0.012152778,0.041500604
131,3,0.753185386,0.910824275,0.768100845,0.840866546
132,3,0.301600242,0.365157005,0.102958937,0.531672705
133,3,0.789447464,0.783378623,0.482669082,0.872644928
134,3,0.40214372,0.642783816,0.27071256,0.763269928
135,3,0.062349034,0.394655797,0.024305556,0.233891908
136,3,0.495003019,0.897116546,0.688783213,0.984103261
137,3,0.577807971,0.697977053,0.634963768,0.664115338
138,3,0.706310386,1.001464372,0.536352657,1.001464372
139,3,0.564975845,0.351253019,0.29794686,0.62192029
140,3,0.181808575,0.260990338,0.117889493,0.2321407
141,3,0.024833937,0.132306763,0.024833937,0.235084541
142,3,0.103487319,0.145516304,0.154710145,0.326781401
143,3,0.223641304,0.683740942,0.277792874,0.762394324
144,3,0.242557367,0.855102657,0.371210749,0.576932367
145,3,0.454166667,0.552128623,0.081944444,0.634963768
146,3,0.281476449,0.503713768,0.012152778,0.800422705
147,3,0.450543478,0.73321256,0.637379227,0.745365338
148,3,0.029513889,0.572252415,0.188888889,0.609586353
149,3,0.284057971,0.952853261,0.141500604,0.659269324
150,3,0.73549215,0.905615942,0.86464372,0.657865338
151,3,0.429045894,0.440836353,0.469127415,0.543765097
152,4,0.024305556,0,0,0
153,4,0.390277778,0.580978261,0.353321256,0.64258756
154,4,0.208333333,0.523641304,0.041500604,0.424350845
155,4,0.700739734,0.68946256,0.379710145,0.582533213
156,4,0.456793478,0.520863527,0.136458333,0.594670894
157,4,0.282669082,0.353155193,0.090640097,0.610129831
158,4,0.539613527,0.759963768,0.576253019,0.649169686
159,4,0.923505435,0.934963768,0.327626812,0.836186594
160,4,0.137152778,0.163194444,0.335416667,0.429891304
161,4,0.323641304,0.559933575,0.012681159,0.036986715
162,4,0.357835145,0.529891304,0.433907005,0.740157005
163,4,0.454181763,0.850422705,0.322750604,0.928547705
164,4,0.247418478,0.53442029,0.224667874,0.727506039
165,4,0.69276872,0.816908213,0.930615942,0.965006039
166,4,0.596407005,0.821256039,0.413934179,0.675573671
167,4,0.101736111,0.774894324,0.191168478,0.967436594
168,4,0.036458333,0.072916667,0.114417271,0.943131039
169,4,0.111458333,0.58651872,0.090806159,0.49169686
170,4,0.518266908,0.596950483,0.459601449,0.794519928
171,4,0.682004831,0.679574275,0.762213164,0.877158816
172,4,0.538964372,0.947644928,0.37071256,0.952853261
173,4,0.389447464,0.372086353,0.34781099,0.470380435
174,4,0.625060386,0.430948068,0.616198671,0.618115942
175,4,0.588556763,0.611503623,0.040972222,0.298807367
176,4,0.63125,0.665277778,0.534208937,0.732004831
177,4,0.453547705,0.67924215,0.345380435,0.687575483
178,4,0.473143116,0.623671498,0.276947464,0.862575483
179,4,0.063541667,0.736684783,0.065806159,0.89174215
180,4,0.1352657,0.369519928,0.083167271,0.734963768
181,4,0.07397343,0.111488527,0.282004831,0.302158816
182,4,0.606461353,0.721074879,0.325528382,0.674682971
183,4,0.574667874,0.714281401,0.212515097,0.760824275
184,4,0.644459541,0.560809179,0.620878623,0.96049215
185,4,0.342421498,0.459103261,0.233922101,0.214779589
186,4,0.282004831,0.369519928,0.219459541,0.656325483
187,4,0.102264493,0.161986715,0.3977657,0.545184179
188,4,0.699305556,0.757503019,0.509797705,0.567436594
189,4,0.549184783,0.619519928,0.407699275,0.44468599
190,4,0.269157609,0.23843599,0.216002415,0.371407005
191,4,0.136654589,0.290866546,0.063405797,0.091168478
192,4,0.172584541,0.753879831,0.363224638,0.877324879
193,4,0.098807367,0.75736715,0.1040157,0.415700483
194,4,0.598822464,0.653698671,0.451449275,0.828019324
195,4,0.2883907,0.576237923,0.54584843,0.536488527
